#  SN DTD predictions for DD models from 6 BPS groups, compiled in Nelemans et al. 2013
#  SN rates are in units of [ yr-1 Msun-1 ]
#  NOTE : assumes a Kroupa IMF
#  NOTE : this version explicitly defines the shape of each time delay bin by fixing the SN rate at both
#    the left and right edge of each bin
#    t   Delta          Yungelson       Wang/Han       Ruiter          Mennekens       Bours/Toonen        Claeys
    0.0      0.0     0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
   29.0      0.0     0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
   30.0      0.0     0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
   99.0      0.0     0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
  100.0      0.0     2.8160000e-13   3.4028777e-14   1.9347582e-13   2.5420000e-13   6.4028571e-15   0.0000000e+00
  299.0      0.0     2.8160000e-13   3.4028777e-14   1.9347582e-13   2.5420000e-13   6.4028571e-15   0.0000000e+00
  300.0      0.0     2.3040000e-13   9.3646407e-13   2.2860892e-13   1.2152000e-13   1.2076500e-13   3.6818252e-14
  999.0      0.0     2.3040000e-13   9.3646407e-13   2.2860892e-13   1.2152000e-13   1.2076500e-13   3.6818252e-14
 1000.0      1.0     8.8000000e-14   1.0675539e-13   1.7559055e-13   6.0388000e-14   3.4255286e-14   1.7991092e-13
 2999.0      1.0     8.8000000e-14   1.0675539e-13   1.7559055e-13   6.0388000e-14   3.4255286e-14   1.7991092e-13
 3000.0      0.0     2.5680000e-14   2.9692086e-14   3.9514436e-14   1.0726000e-14   1.5263700e-14   3.7722534e-14
 9999.0      0.0     2.5680000e-14   2.9692086e-14   3.9514436e-14   1.0726000e-14   1.5263700e-14   3.7722534e-14
10000.0      0.0     7.5040000e-15   8.7999997e-15   1.0228721e-14   4.5942000e-15   4.5638143e-15   8.7764985e-15
13699.0      0.0     7.5040000e-15   8.7999997e-15   1.0228721e-14   4.5942000e-15   4.5638143e-15   8.7764985e-15
13700.0      0.0     3.3360000e-15   5.2401322e-15   2.6459530e-15   4.2532000e-15   2.3477143e-15   3.2027281e-15


